day_id,user_id,event_id,routine,profile,outcome,duration_min
D001,U-0007,76,push,standard,completed,26.763
D001,U-0005,159,legs,intense,completed,34.976
D001,U-0021,201,full_body,flexible,completed,14.374
D001,U-0029,286,pull,standard,completed,12.771
D001,U-0032,306,push,flexible,completed,18.206
D001,U-0038,312,legs,flexible,completed,19.201
D001,U-0023,367,pull,intense,completed,18.338
D001,U-0042,414,legs,standard,completed,11.587
D001,U-0045,451,pull,intense,completed,37.914
D001,U-0057,476,legs,flexible,completed,14.396
D001,U-0059,518,pull,standard,completed,14.651
D001,U-0051,539,upper,standard,completed,7.408
D001,U-0068,550,upper,express,completed,8.769
D001,U-0052,556,upper,standard,completed,22.168
D001,U-0067,586,upper,standard,completed,17.342
D001,U-0077,624,legs,flexible,completed,14.479
D001,U-0090,713,pull,flexible,completed,9.247
D001,U-0083,744,full_body,standard,completed,12.884
D001,U-0094,800,upper,standard,completed,15.776
D001,U-0102,851,legs,standard,completed,14.496
D001,U-0104,889,upper,flexible,completed,17.332
D001,U-0105,917,upper,flexible,completed,24.045
D001,U-0110,918,legs,standard,completed,10.063
D001,U-0106,936,legs,standard,completed,19.505
D001,U-0120,962,push,standard,completed,23.957
D001,U-0116,972,pull,standard,completed,28.0
D001,U-0115,990,upper,standard,completed,23.711
D001,U-0123,1016,legs,standard,completed,13.556
D001,U-0138,1080,push,express,completed,7.203
D001,U-0137,1109,upper,express,completed,9.784
D001,U-0147,1171,full_body,express,completed,7.441
D001,U-0142,1176,upper,flexible,completed,16.64
D001,U-0149,1193,push,standard,completed,16.846
D001,U-0151,1212,pull,standard,completed,22.771
D001,U-0150,1233,legs,standard,completed,10.192
D001,U-0155,1248,full_body,express,completed,9.51
D001,U-0159,1318,upper,standard,completed,21.273
D001,U-0165,1322,upper,express,completed,7.347
D001,U-0167,1344,legs,standard,completed,13.006
D001,U-0170,1374,upper,standard,completed,17.595
D001,U-0163,1419,upper,intense,completed,26.179
D001,U-0171,1436,upper,flexible,completed,17.41
D001,U-0188,1524,upper,standard,completed,13.621
D001,U-0185,1541,upper,standard,completed,11.147
D001,U-0197,1573,push,flexible,completed,22.529
D001,U-0196,1598,legs,intense,completed,16.133
D001,U-0208,1629,pull,express,completed,8.706
D001,U-0202,1653,upper,flexible,completed,9.771
D001,U-0206,1682,legs,flexible,completed,22.043
D001,U-0226,1837,push,standard,completed,14.222
D001,U-0228,1845,pull,standard,completed,25.548
D001,U-0235,1908,legs,intense,completed,9.342
D001,U-0231,1957,push,intense,completed,21.251
D001,U-0256,2032,pull,standard,completed,12.506
D001,U-0245,2073,full_body,flexible,completed,15.58
D001,U-0255,2083,full_body,flexible,completed,19.471
D001,U-0250,2097,upper,standard,completed,14.444
D001,U-0265,2152,legs,standard,completed,12.08
D001,U-0269,2176,full_body,flexible,completed,10.857
D001,U-0280,2234,full_body,flexible,completed,16.955
D001,U-0267,2240,legs,standard,completed,15.508
D001,U-0279,2348,push,intense,completed,43.047
D001,U-0291,2378,push,standard,completed,8.507
D001,U-0304,2403,push,standard,completed,15.688
D001,U-0308,2413,legs,flexible,completed,16.275
D001,U-0289,2464,pull,intense,completed,35.315
D001,U-0298,2474,push,intense,completed,23.189
D001,U-0330,2509,legs,flexible,completed,19.606
D001,U-0336,2672,upper,standard,completed,13.002
D001,U-0328,2695,push,standard,completed,16.128
D001,U-0368,2752,legs,express,completed,9.384
D001,U-0352,2773,legs,standard,completed,10.104
D001,U-0362,2784,full_body,express,completed,10.806
D001,U-0370,2945,legs,intense,completed,24.603
D001,U-0404,2965,upper,express,completed,9.658
D001,U-0384,2970,push,standard,completed,24.234
D001,U-0399,3037,pull,standard,completed,18.337
D001,U-0405,3054,legs,standard,completed,21.658
D001,U-0408,3066,upper,flexible,completed,9.335
D001,U-0406,3113,upper,intense,completed,16.832
D001,U-0419,3129,full_body,flexible,completed,8.108
D002,U-0002,55,pull,standard,completed,28.0
D002,U-0005,88,upper,flexible,completed,23.58
D002,U-0006,102,push,standard,completed,19.886
D002,U-0011,144,push,intense,completed,14.348
D002,U-0020,182,upper,express,completed,8.135
D002,U-0013,193,upper,standard,completed,14.784
D002,U-0024,231,upper,flexible,completed,13.367
D002,U-0032,310,full_body,flexible,completed,25.507
D002,U-0033,337,push,standard,completed,17.775
D002,U-0036,346,full_body,flexible,completed,16.827
D002,U-0040,419,upper,standard,completed,25.956
D002,U-0046,434,legs,flexible,completed,8.39
D002,U-0044,435,pull,standard,completed,12.934
D002,U-0043,436,pull,intense,completed,33.987
D002,U-0052,517,push,intense,completed,15.738
D002,U-0060,549,push,flexible,completed_failed,19.864
D002,U-0067,595,pull,standard,completed,9.039
