grupo,distribucion,parametros,estadistico,p_value,p_value_simulado,conclusion
biceps_curl,gamma,"(np.float64(3.5274982800289054), np.float64(2.0775353807831856), np.float64(1.215978233751287))",0.029618774581942064,0.00048806171697893805,,se rechaza H0
biceps_curl,lognorm,"(np.float64(0.38256722882396044), 0.5303049528358907, np.float64(5.430121746621314))",0.031074685141591674,0.00021132941990014618,,se rechaza H0
biceps_curl,weibull_min,"(np.float64(1.8091151173314375), np.float64(2.472538733852419), np.float64(4.386211876876824))",0.017170304758374,0.12160487772139084,0.0,se rechaza H0
cable,gamma,"(np.float64(5.68214502665036), np.float64(1.422324049068401), np.float64(1.3050395605763414))",0.02378055084513908,0.03321148752876879,,se rechaza H0
cable,lognorm,"(np.float64(0.27438764935601034), -2.2620965557570707, np.float64(10.691442366439068))",0.024191028190876956,0.0288025694040408,,se rechaza H0
cable,weibull_min,"(np.float64(2.0844496115455406), np.float64(2.7352146158078465), np.float64(6.8923317717187995))",0.023681303815137833,0.03436257260532616,,se rechaza H0
chest_fly,gamma,"(np.float64(4.195799549046656), np.float64(1.9163730275391708), np.float64(1.1309633077660952))",0.01723202494130148,0.21845070423037816,,no se rechaza H0
chest_fly,lognorm,"(np.float64(0.33787227474463655), -0.04174121419492606, np.float64(6.335354888002073))",0.021199652372871608,0.07042528441422125,0.0,se rechaza H0
chest_fly,weibull_min,"(np.float64(2.0744779073417736), np.float64(2.2054563198810615), np.float64(5.040751453006504))",0.024572386689009185,0.02236721827029663,,se rechaza H0
chest_press,gamma,"(np.float64(4.626456384127042), np.float64(2.1059313377513984), np.float64(1.428204457603806))",0.024381826935132023,0.0021524067262060414,,se rechaza H0
chest_press,lognorm,"(np.float64(0.3099245778290903), -0.9587485208220521, np.float64(9.221681076789203))",0.02131612933420801,0.010757099796076983,,se rechaza H0
chest_press,weibull_min,"(np.float64(2.0016836937522244), np.float64(2.947081288324548), np.float64(6.512019443265967))",0.02212913171925812,0.007169902492433729,,se rechaza H0
lat_pulldown,gamma,"(np.float64(4.4272260415030384), np.float64(2.0661824027287503), np.float64(1.4837121792167811))",0.02041994608736611,0.02072189105140566,,se rechaza H0
lat_pulldown,lognorm,"(np.float64(0.31624688518579985), -0.988965613983332, np.float64(9.158140003345396))",0.02424355178126225,0.0031976154123579564,,se rechaza H0
lat_pulldown,weibull_min,"(np.float64(1.878231148380447), np.float64(3.0984127880385763), np.float64(6.237831864329951))",0.017316424258452257,0.07466159693049912,0.001,se rechaza H0
leg_curl,gamma,"(np.float64(3.0759442831814665), np.float64(2.5765979740176985), np.float64(1.650272228575778))",0.032615750798270254,0.001260329206003779,,se rechaza H0
leg_curl,lognorm,"(np.float64(0.4083338692284617), 0.7388315844476113, np.float64(6.372141647291204))",0.03980993975973526,3.426441502791473e-05,,se rechaza H0
leg_curl,weibull_min,"(np.float64(1.720482352456599), np.float64(2.9892059718068094), np.float64(5.235646392553657))",0.02646294055236781,0.015590037418457376,,se rechaza H0
leg_extension,gamma,"(np.float64(2.870277942470345), np.float64(2.7442657889167577), np.float64(1.6706904103199869))",0.02980038015174613,0.0032338602017936303,,se rechaza H0
leg_extension,lognorm,"(np.float64(0.3903488069841178), 0.5802557300890131, np.float64(6.4575747393224985))",0.032667759820637715,0.0008861316442238035,,se rechaza H0
leg_extension,weibull_min,"(np.float64(1.6947580868119825), np.float64(3.061454453495663), np.float64(5.0158663136214745))",0.017797473576407097,0.20093184138428233,,no se rechaza H0
leg_press,gamma,"(np.float64(4.442421873954311), np.float64(2.5666425364508605), np.float64(1.8939347727667157))",0.030678275608083394,0.0007691306521998266,,se rechaza H0
leg_press,lognorm,"(np.float64(0.3090115047550911), -1.5941410131868372, np.float64(11.992994385987629))",0.03261480729759218,0.00027653084877904177,,se rechaza H0
leg_press,weibull_min,"(np.float64(1.8405164903423494), np.float64(4.033245196740897), np.float64(7.817619809532321))",0.02387350893500967,0.017045037758440792,,se rechaza H0
seated_row,gamma,"(np.float64(4.583690014555244), np.float64(1.9857161041860636), np.float64(1.4459723877902828))",0.021119544461940337,0.008874781531827663,,se rechaza H0
seated_row,lognorm,"(np.float64(0.3126393893539893), -1.0517993600748468, np.float64(9.207685736082889))",0.023440723634039096,0.0025305952868093264,,se rechaza H0
seated_row,weibull_min,"(np.float64(2.0335368550959267), np.float64(2.7251725345339977), np.float64(6.653087145935917))",0.017829085693656932,0.0420190035515321,,se rechaza H0
shoulder_press,gamma,"(np.float64(4.7729307515246004), np.float64(1.9308591137017492), np.float64(1.4233241171578295))",0.02148155241134199,0.0071594262957014815,,se rechaza H0
shoulder_press,lognorm,"(np.float64(0.2991920724823027), -1.4142881470281587, np.float64(9.69795824417908))",0.02496817413662336,0.0009941069314134833,,se rechaza H0
shoulder_press,weibull_min,"(np.float64(1.9018024481909563), np.float64(3.1356367535364598), np.float64(6.2961475232505535))",0.019317264715299765,0.0210100782944119,,se rechaza H0
