day_id,user_id,event_id,resource,routine,assistance,outcome,duration_min,profile
D001,U-0001,8,leg_extension,full_body,False,completed,5.429,flexible
D001,U-0002,9,lat_pulldown,pull,False,completed,6.894,standard
D001,U-0003,12,lat_pulldown,pull,False,completed,7.805,standard
D001,U-0004,17,leg_press,legs,False,completed,18.945,intense
D001,U-0005,18,leg_press,legs,False,completed,13.534,intense
D001,U-0006,19,lat_pulldown,pull,False,completed,5.023,express
D001,U-0002,20,seated_row,pull,False,completed,7.97,standard
D001,U-0001,21,chest_fly,full_body,False,completed,9.201,flexible
D001,U-0003,24,seated_row,pull,False,completed,7.602,standard
D001,U-0006,27,biceps_curl,pull,False,completed,3.295,express
D001,U-0007,28,chest_press,push,False,completed,5.325,standard
D001,U-0001,34,lat_pulldown,full_body,True,completed,6.648,flexible
D001,U-0006,38,seated_row,pull,False,completed,4.133,express
D001,U-0003,41,biceps_curl,pull,False,completed,6.051,standard
D001,U-0005,42,leg_curl,legs,False,completed,9.007,intense
D001,U-0009,43,chest_press,upper,False,completed,12.134,intense
D001,U-0007,46,shoulder_press,push,True,completed,7.104,standard
D001,U-0002,47,biceps_curl,pull,False,completed,3.639,standard
D001,U-0010,48,leg_press,legs,False,completed,20.735,intense
D001,U-0008,51,leg_extension,legs,False,completed,6.216,standard
D001,U-0004,57,leg_curl,legs,False,completed,10.177,intense
D001,U-0011,58,leg_press,legs,False,completed,11.03,intense
D001,U-0013,62,shoulder_press,upper,False,completed,9.815,intense
D001,U-0007,66,chest_fly,push,False,completed,7.998,standard
D001,U-0012,69,leg_extension,legs,False,completed,3.586,express
D001,U-0016,70,leg_extension,full_body,False,completed,6.378,flexible
D001,U-0009,73,shoulder_press,upper,False,completed,11.691,intense
D001,U-0017,77,seated_row,pull,False,completed,12.307,intense
D001,U-0008,78,leg_curl,legs,False,completed,9.346,standard
D001,U-0016,82,leg_press,full_body,True,completed,15.33,flexible
D001,U-0018,85,seated_row,pull,True,completed,11.801,intense
D001,U-0004,86,leg_extension,legs,False,completed,8.745,intense
D001,U-0010,89,leg_curl,legs,False,completed,13.006,intense
D001,U-0019,91,chest_press,push,False,completed,3.412,express
D001,U-0005,92,leg_extension,legs,False,completed,4.771,intense
D001,U-0014,93,leg_press,legs,False,completed,11.666,intense
D001,U-0013,99,chest_fly,upper,False,completed,10.858,intense
D001,U-0018,101,lat_pulldown,pull,False,completed,12.318,intense
D001,U-0021,102,leg_press,full_body,False,completed,8.86,flexible
D001,U-0016,103,shoulder_press,full_body,False,completed,8.77,flexible
D001,U-0011,104,leg_curl,legs,False,completed,6.764,intense
D001,U-0017,105,lat_pulldown,pull,False,completed,12.867,intense
D001,U-0022,113,shoulder_press,upper,False,completed,15.921,intense
D001,U-0019,115,shoulder_press,push,False,completed,3.871,express
D001,U-0016,116,seated_row,full_body,False,completed,7.594,flexible
D001,U-0010,117,leg_extension,legs,False,completed,11.483,intense
D001,U-0009,121,seated_row,upper,False,completed,15.944,intense
D001,U-0005,123,cable,legs,False,completed,11.631,intense
D001,U-0013,124,lat_pulldown,upper,False,completed,11.125,intense
D001,U-0008,128,leg_press,legs,False,completed,9.901,standard
D001,U-0021,130,chest_fly,full_body,False,completed,3.659,flexible
D001,U-0017,131,biceps_curl,pull,False,completed,8.842,intense
D001,U-0018,133,biceps_curl,pull,False,completed,8.936,intense
D001,U-0015,135,leg_press,legs,False,completed,18.882,intense
D001,U-0014,136,leg_curl,legs,False,completed,16.129,intense
D001,U-0020,140,leg_curl,full_body,False,completed,9.616,intense
D001,U-0026,142,leg_extension,full_body,False,completed,5.363,standard
D001,U-0025,146,shoulder_press,upper,False,completed,12.206,intense
D001,U-0011,148,leg_extension,legs,False,completed,9.412,intense
D001,U-0027,149,chest_press,push,False,completed,5.905,standard
D001,U-0021,152,lat_pulldown,full_body,False,completed,9.98,flexible
D001,U-0023,153,seated_row,pull,False,completed,13.45,intense
D001,U-0024,157,shoulder_press,upper,False,completed,14.037,intense
D001,U-0022,158,chest_fly,upper,False,completed,7.117,intense
D001,U-0017,160,cable,pull,False,completed,9.362,intense
D001,U-0013,166,seated_row,upper,True,completed,12.142,intense
D001,U-0030,167,biceps_curl,upper,False,completed,3.673,flexible
D001,U-0026,170,chest_press,full_body,False,completed,8.616,standard
D001,U-0011,171,cable,legs,True,completed,10.829,intense
