day_id,user_id,profile,routine
D001,U-0001,flexible,full_body
D001,U-0002,standard,pull
D001,U-0003,standard,pull
D001,U-0004,intense,legs
D001,U-0005,intense,legs
D001,U-0006,express,pull
D001,U-0007,standard,push
D001,U-0008,standard,legs
D001,U-0009,intense,upper
D001,U-0010,intense,legs
D001,U-0011,intense,legs
D001,U-0012,express,legs
D001,U-0013,intense,upper
D001,U-0014,intense,legs
D001,U-0015,intense,legs
D001,U-0016,flexible,full_body
D001,U-0017,intense,pull
D001,U-0018,intense,pull
D001,U-0019,express,push
D001,U-0020,intense,full_body
D001,U-0021,flexible,full_body
D001,U-0022,intense,upper
D001,U-0023,intense,pull
D001,U-0024,intense,upper
D001,U-0025,intense,upper
D001,U-0026,standard,full_body
D001,U-0027,standard,push
D001,U-0028,intense,legs
D001,U-0029,standard,pull
D001,U-0030,flexible,upper
D001,U-0031,standard,upper
D001,U-0032,flexible,push
D001,U-0033,express,push
D001,U-0034,intense,push
D001,U-0035,intense,upper
D001,U-0036,intense,push
D001,U-0037,flexible,push
D001,U-0038,flexible,legs
D001,U-0039,express,push
D001,U-0040,standard,legs
D001,U-0041,intense,full_body
D001,U-0042,standard,legs
D001,U-0043,intense,push
D001,U-0044,flexible,pull
D001,U-0045,intense,pull
D001,U-0046,flexible,upper
D001,U-0047,flexible,pull
D001,U-0048,flexible,push
D001,U-0049,intense,pull
D001,U-0050,flexible,legs
D001,U-0051,standard,upper
D001,U-0052,standard,upper
D001,U-0053,flexible,upper
D001,U-0054,express,legs
D001,U-0055,standard,upper
D001,U-0056,express,pull
D001,U-0057,flexible,legs
D001,U-0058,intense,push
D001,U-0059,standard,pull
D001,U-0060,express,pull
D001,U-0061,intense,push
D001,U-0062,intense,push
D001,U-0063,standard,push
D001,U-0064,flexible,push
D001,U-0065,intense,full_body
D001,U-0066,flexible,legs
D001,U-0067,standard,upper
D001,U-0068,express,upper
D001,U-0069,intense,pull
D001,U-0070,express,legs
D001,U-0071,flexible,full_body
D001,U-0072,express,push
D001,U-0073,intense,upper
D001,U-0074,standard,legs
D001,U-0075,flexible,pull
D001,U-0076,flexible,push
D001,U-0077,flexible,legs
D001,U-0078,express,push
D001,U-0079,intense,upper
D001,U-0080,standard,pull
D001,U-0081,intense,pull
D001,U-0082,express,push
D001,U-0083,standard,full_body
D001,U-0084,flexible,full_body
D001,U-0085,flexible,push
D001,U-0086,flexible,upper
D001,U-0087,standard,full_body
D001,U-0088,flexible,legs
D001,U-0089,flexible,legs
D001,U-0090,flexible,pull
D001,U-0091,standard,upper
D001,U-0092,intense,pull
D001,U-0093,flexible,full_body
D001,U-0094,standard,upper
D001,U-0095,flexible,upper
D001,U-0096,intense,push
D001,U-0097,flexible,legs
D001,U-0098,flexible,full_body
D001,U-0099,standard,legs
D001,U-0100,flexible,upper
D001,U-0101,flexible,full_body
D001,U-0102,standard,legs
D001,U-0103,flexible,upper
D001,U-0104,flexible,upper
D001,U-0105,flexible,upper
D001,U-0106,standard,legs
D001,U-0107,flexible,upper
D001,U-0108,intense,legs
D001,U-0109,standard,pull
D001,U-0110,standard,legs
D001,U-0111,express,legs
D001,U-0112,flexible,push
D001,U-0113,standard,upper
D001,U-0114,flexible,upper
D001,U-0115,standard,upper
D001,U-0116,standard,pull
D001,U-0117,standard,pull
D001,U-0118,flexible,pull
D001,U-0119,standard,upper
D001,U-0120,standard,push
D001,U-0121,intense,upper
D001,U-0122,standard,pull
D001,U-0123,standard,legs
D001,U-0124,standard,legs
D001,U-0125,flexible,upper
D001,U-0126,intense,push
D001,U-0127,express,legs
D001,U-0128,flexible,upper
D001,U-0129,express,push
D001,U-0130,standard,pull
D001,U-0131,intense,legs
D001,U-0132,express,full_body
D001,U-0133,standard,full_body
D001,U-0134,flexible,upper
D001,U-0135,express,upper
D001,U-0136,standard,push
D001,U-0137,express,upper
D001,U-0138,express,push
D001,U-0139,standard,upper
D001,U-0140,express,push
D001,U-0141,flexible,full_body
D001,U-0142,flexible,upper
D001,U-0143,intense,pull
